2024-02-19 10:42:27.361 [info] Log level: Info
2024-02-19 10:42:27.361 [info] Validating found git in: "git"
2024-02-19 10:42:27.361 [info] Using git "2.40.1" from "git"
2024-02-19 10:42:27.361 [info] > git rev-parse --show-toplevel [32ms]
2024-02-19 10:42:27.364 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 10:42:27.376 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 10:42:27.396 [info] > git rev-parse --show-toplevel [12ms]
2024-02-19 10:42:35.435 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 10:42:36.963 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 10:42:39.913 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 10:42:43.052 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 10:51:02.532 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 10:52:41.831 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 10:52:45.558 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 10:52:47.124 [info] > git rev-parse --show-toplevel [13ms]
2024-02-19 10:53:40.228 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 10:54:04.395 [info] > git rev-parse --show-toplevel [12ms]
2024-02-19 10:54:16.528 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 10:54:33.194 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 10:54:36.026 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 10:55:29.682 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 10:55:56.981 [info] > git rev-parse --show-toplevel [43ms]
2024-02-19 10:56:04.979 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 10:56:09.185 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 10:58:10.581 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 10:58:53.755 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 11:03:48.157 [info] > git rev-parse --show-toplevel [2ms]
2024-02-19 11:05:09.664 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 11:06:30.167 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 11:07:10.375 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 11:08:01.902 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 11:08:28.951 [info] > git rev-parse --show-toplevel [3ms]
2024-02-19 11:08:53.353 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 11:08:56.329 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 11:10:58.879 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 11:11:22.381 [info] > git rev-parse --show-toplevel [26ms]
2024-02-19 11:11:56.868 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 11:11:59.206 [info] > git rev-parse --show-toplevel [43ms]
2024-02-19 11:13:47.609 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 11:15:23.053 [info] > git rev-parse --show-toplevel [15ms]
2024-02-19 11:16:28.126 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 11:16:44.787 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 11:16:46.882 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 11:16:48.548 [info] > git rev-parse --show-toplevel [28ms]
2024-02-19 11:26:55.383 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 11:27:54.920 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 11:29:19.063 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 11:29:32.965 [info] > git rev-parse --show-toplevel [23ms]
2024-02-19 11:29:41.760 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 11:29:43.131 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 11:31:34.119 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 11:31:35.142 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 11:47:24.877 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 11:48:59.932 [info] > git rev-parse --show-toplevel [21ms]
2024-02-19 11:49:05.685 [info] > git rev-parse --show-toplevel [16ms]
2024-02-19 11:49:09.857 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 12:17:06.657 [info] > git rev-parse --show-toplevel [31ms]
2024-02-19 12:17:40.473 [info] > git rev-parse --show-toplevel [30ms]
2024-02-19 12:18:36.499 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:18:39.063 [info] > git rev-parse --show-toplevel [18ms]
2024-02-19 12:18:47.132 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:18:50.145 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 12:21:20.829 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:21:22.123 [info] > git rev-parse --show-toplevel [16ms]
2024-02-19 12:21:46.624 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:21:53.244 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:22:29.014 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:22:30.793 [info] > git rev-parse --show-toplevel [18ms]
2024-02-19 12:25:42.944 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:25:46.332 [info] > git rev-parse --show-toplevel [22ms]
2024-02-19 12:25:48.189 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:26:29.216 [info] > git rev-parse --show-toplevel [30ms]
2024-02-19 12:26:34.618 [info] > git rev-parse --show-toplevel [16ms]
2024-02-19 12:27:09.317 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 12:27:46.730 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 12:27:56.427 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 12:28:18.193 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:28:19.784 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:29:00.027 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:29:01.610 [info] > git rev-parse --show-toplevel [31ms]
2024-02-19 12:29:31.237 [info] > git rev-parse --show-toplevel [15ms]
2024-02-19 12:29:37.268 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:29:45.457 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 12:29:50.291 [info] > git rev-parse --show-toplevel [23ms]
2024-02-19 12:31:09.387 [info] > git rev-parse --show-toplevel [14ms]
2024-02-19 12:31:16.550 [info] > git rev-parse --show-toplevel [3ms]
2024-02-19 12:31:35.321 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:31:39.289 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:35:32.543 [info] > git rev-parse --show-toplevel [19ms]
2024-02-19 12:35:34.879 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:35:58.992 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:36:01.721 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 12:36:35.652 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:37:45.561 [info] > git rev-parse --show-toplevel [15ms]
2024-02-19 12:41:31.406 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 12:42:10.627 [info] > git rev-parse --show-toplevel [30ms]
2024-02-19 12:42:13.601 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 12:42:29.026 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:46:37.834 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:46:42.863 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:47:13.032 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:47:15.622 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 12:48:06.034 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 12:48:11.488 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 12:57:00.752 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 12:57:07.824 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 12:57:21.582 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:58:02.988 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:58:12.548 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 12:58:16.112 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 12:58:19.051 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 12:58:29.113 [info] > git rev-parse --show-toplevel [30ms]
2024-02-19 12:58:33.746 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 12:58:44.802 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 12:59:04.212 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 13:01:08.726 [info] > git rev-parse --show-toplevel [12ms]
2024-02-19 13:01:11.010 [info] > git rev-parse --show-toplevel [24ms]
2024-02-19 13:01:35.197 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 13:01:41.381 [info] > git rev-parse --show-toplevel [13ms]
2024-02-19 13:01:55.739 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 13:01:56.614 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 13:02:29.677 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 13:02:36.785 [info] > git rev-parse --show-toplevel [2ms]
2024-02-19 13:02:56.528 [info] > git rev-parse --show-toplevel [25ms]
2024-02-19 13:03:41.483 [info] > git rev-parse --show-toplevel [13ms]
2024-02-19 13:04:04.782 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 13:04:40.871 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 13:05:03.938 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 13:05:11.354 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 13:05:23.984 [info] > git rev-parse --show-toplevel [25ms]
2024-02-19 13:05:26.442 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 13:05:37.787 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 13:05:54.470 [info] > git rev-parse --show-toplevel [22ms]
2024-02-19 13:06:02.688 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 13:08:12.696 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 13:08:25.527 [info] > git rev-parse --show-toplevel [11ms]
2024-02-19 13:09:47.846 [info] > git rev-parse --show-toplevel [6ms]
2024-02-19 13:09:51.261 [info] > git rev-parse --show-toplevel [23ms]
2024-02-19 13:10:54.674 [info] > git rev-parse --show-toplevel [12ms]
2024-02-19 13:12:11.484 [info] > git rev-parse --show-toplevel [3ms]
2024-02-19 13:12:12.161 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 13:14:51.128 [info] > git rev-parse --show-toplevel [8ms]
2024-02-19 13:15:01.022 [info] > git rev-parse --show-toplevel [29ms]
2024-02-19 13:15:02.006 [info] > git rev-parse --show-toplevel [15ms]
2024-02-19 13:15:37.533 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 13:16:45.473 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 13:17:28.190 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 13:20:28.800 [info] > git rev-parse --show-toplevel [5ms]
2024-02-19 13:20:59.148 [info] > git rev-parse --show-toplevel [12ms]
2024-02-19 13:23:49.544 [info] > git rev-parse --show-toplevel [10ms]
2024-02-19 13:23:52.686 [info] > git rev-parse --show-toplevel [9ms]
2024-02-19 13:28:02.052 [info] > git rev-parse --show-toplevel [4ms]
2024-02-19 13:28:06.422 [info] > git rev-parse --show-toplevel [22ms]
2024-02-19 13:29:07.604 [info] > git rev-parse --show-toplevel [7ms]
2024-02-19 13:29:10.544 [info] > git rev-parse --show-toplevel [15ms]
2024-02-19 13:29:34.187 [info] > git rev-parse --show-toplevel [4ms]
